DateTime,Platinum,Gold,Silver,Palladium,Rhodium,Iridium,Ruthenium
2018-01-02 00:00:00,943,1317,18.12,1088,1714,976,199
2018-01-03 00:00:00,960,1320,16.25,1092,1716,977,199
2018-01-04 00:00:00,959,1315,19.2,1107,1716,973,200
2018-01-05 00:00:00,965,1323,19.2,1103,1715,976,200
2018-01-08 00:00:00,974,1322,14.18,1102,1714,977,202
2018-01-09 00:00:00,971,1320,17.14,1110,1715,976,200
2018-01-10 00:00:00,967,1328,18.2,1101,1699,975,207
2018-01-11 00:00:00,985,1320,14.02,1081,1701,976,207
2018-01-12 00:00:00,998,1333,14.19,1104,1679,975,208
2018-01-15 00:00:00,1002,1342,18.4,1145,1682,973,211
2018-01-16 00:00:00,999,1337,19.06,1110,1695,972,209
2018-01-17 00:00:00,1006,1340,17.22,1112,1692,974,212
2018-01-18 00:00:00,1009,1333,18.1,1112,1694,977,209
2018-01-19 00:00:00,1020,1335,18.05,1113,1694,973,212
2018-01-22 00:00:00,1022,1336,15.02,1107,1697,977,207
2018-01-23 00:00:00,1002,1339,16.8,1099,1693,972,207
2018-01-24 00:00:00,1024,1354,18.32,1112,1695,974,207
2018-01-25 00:00:00,1028,1361,15.56,1108,1693,977,210
2018-01-26 00:00:00,1017,1353,18.38,1096,1707,977,207
2018-01-29 00:00:00,1016,1354,19.43,1097,1751,972,210
2018-01-30 00:00:00,1006,1345,15.26,1088,1791,976,216
2018-01-31 00:00:00,1007,1344,15.27,1049,1824,977,212
2018-02-01 00:00:00,1003,1343,19.3,1033,1849,975,213
2018-02-02 00:00:00,1009,1354,18.25,1055,1852,976,213
2018-02-05 00:00:00,1000,1343,18.9,1039,1876,976,217
2018-02-06 00:00:00,994,1342,18.72,1020,1877,977,213
2018-02-07 00:00:00,988,1329,15.55,1003,1841,977,216
2018-02-08 00:00:00,982,1314,18.31,994,1812,972,212
2018-02-09 00:00:00,979,1322,14.44,974,1813,974,216
2018-02-12 00:00:00,969,1324,15.44,987,1813,977,217
2018-02-13 00:00:00,980,1329,17.62,993,1817,974,214
2018-02-14 00:00:00,996,1342,16.77,1003,1813,975,215
2018-02-15 00:00:00,1009,1359,13.97,1026,1849,975,216
2018-02-16 00:00:00,1007,1355,17.77,1043,1866,975,216
2018-02-19 00:00:00,1020,1354,14.75,1057,1876,976,216
2018-02-20 00:00:00,1016,1349,14.7,1047,1874,976,213
2018-02-21 00:00:00,1003,1336,18.6,1035,1849,979,220
2018-02-22 00:00:00,999,1329,16.6,1041,1850,981,221
2018-02-23 00:00:00,1001,1327,17.58,1046,1850,979,219
2018-02-26 00:00:00,1012,1341,17.75,1067,1864,982,219
2018-02-27 00:00:00,994,1325,17.45,1058,1875,979,221
2018-02-28 00:00:00,983,1322,14.42,1048,1877,979,221
2018-03-01 00:00:00,967,1310,16.25,1007,1872,992,222
2018-03-02 00:00:00,973,1332,16.55,1005,1872,992,222
2018-03-05 00:00:00,965,1322,17.47,988,1847,992,221
2018-03-06 00:00:00,970,1329,16.62,989,1852,989,217
2018-03-07 00:00:00,967,1337,16.65,984,1851,997,222
2018-03-08 00:00:00,960,1332,16.5,990,1847,1001,221
2018-03-09 00:00:00,963,1327,18.62,998,1851,998,217
2018-03-12 00:00:00,968,1324,17.57,998,1847,1001,222
2018-03-13 00:00:00,975,1332,13.6,999,1852,998,217
2018-03-14 00:00:00,966,1327,15.55,1002,1902,1008,217
2018-03-15 00:00:00,961,1325,18.55,999,1901,1007,221
2018-03-16 00:00:00,957,1315,17.35,993,1959,1016,226
2018-03-19 00:00:00,945,1314,13.3,998,1958,1013,225
2018-03-20 00:00:00,947,1308,17.18,982,1979,1017,227
2018-03-21 00:00:00,955,1330,16.55,993,1979,1029,227
2018-03-22 00:00:00,952,1329,13.45,983,1979,1029,225
2018-03-23 00:00:00,957,1344,16.6,985,1977,1030,225
2018-03-26 00:00:00,949,1347,17.6,983,1987,1033,223
2018-03-27 00:00:00,956,1350,15.6,985,2014,1037,223
2018-03-28 00:00:00,943,1344,13.55,975,2052,1042,228
2018-03-29 00:00:00,943,1335,15.32,973,2051,1039,231
2018-04-03 00:00:00,935,1345,16.58,950,2051,1039,230
2018-04-04 00:00:00,924,1335,18.45,923,2049,1039,231
2018-04-05 00:00:00,913,1330,18.23,921,2048,1042,231
2018-04-06 00:00:00,916,1330,15.37,909,2039,1049,237
2018-04-09 00:00:00,928,1339,15.45,935,2041,1051,232
2018-04-10 00:00:00,939,1342,14.68,955,2048,1057,239
2018-04-11 00:00:00,937,1348,15.6,965,2071,1062,239
2018-04-12 00:00:00,935,1348,17.55,958,2068,1059,238
2018-04-13 00:00:00,930,1344,15.52,987,2068,1061,241
2018-04-16 00:00:00,933,1352,14.7,1011,2095,1058,242
2018-04-17 00:00:00,934,1348,15.7,1009,2095,1058,242
2018-04-18 00:00:00,947,1355,19.13,1042,2097,1075,246
2018-04-19 00:00:00,950,1353,16.2,1041,2121,1087,250
2018-04-20 00:00:00,933,1345,17.12,1038,2121,1086,249
2018-04-23 00:00:00,922,1328,15.8,998,2118,1082,255
2018-04-24 00:00:00,926,1333,18.71,981,2102,1087,252
2018-04-25 00:00:00,921,1323,13.55,969,2064,1090,252
2018-04-26 00:00:00,922,1326,18.61,1000,2062,1097,252
2018-04-27 00:00:00,911,1319,18.52,992,2064,1098,254
2018-04-30 00:00:00,916,1324,16.5,982,2064,1115,260
2018-05-02 00:00:00,902,1314,13.38,974,2034,1148,263
2018-05-03 00:00:00,906,1318,15.56,975,2035,1148,267
2018-05-04 00:00:00,906,1320,13.46,969,2032,1177,265
2018-05-07 00:00:00,916,1317,13.53,983,2035,1172,264
2018-05-08 00:00:00,914,1314,16.5,975,2033,1191,265
2018-05-09 00:00:00,916,1313,13.46,978,2035,1201,264
2018-05-11 00:00:00,931,1325,16.85,1011,2071,1274,266
2018-05-14 00:00:00,930,1323,15.7,997,2091,1273,264
2018-05-15 00:00:00,902,1307,14.34,975,2099,1297,275
2018-05-16 00:00:00,897,1290,15.26,985,2109,1300,277
2018-05-17 00:00:00,896,1299,18.45,991,2162,1300,277
2018-05-18 00:00:00,890,1295,17.44,985,2196,1332,277
